Date,NKE,PTON,SFM,BGFV,UNFI,NLS,JOUT,HLF,BFIT
2017-04-18,53.72513961791992,,22.70000076293945,11.41698169708252,42.060001373291016,17.299999237060547,33.782333374023445,29.834999084472656,14.550439834594727
2017-04-19,53.485755920410156,,22.90999984741211,11.569208145141602,41.9900016784668,17.450000762939453,34.41241455078125,29.67499923706055,14.550439834594727
2017-04-20,54.00281143188477,,22.79999923706055,11.987829208374025,41.72000122070313,17.5,35.110366821289055,30.20000076293945,14.846802711486815
2017-04-21,53.47618865966797,,22.739999771118164,12.596735954284668,41.47999954223633,17.450000762939453,34.964954376220696,29.989999771118164,14.846802711486815
2017-04-24,53.112342834472656,,21.979999542236328,12.406452178955078,41.02999877929688,17.600000381469727,35.711368560791016,30.489999771118164,14.846802711486815
2017-04-25,53.09319305419922,,22.65999984741211,12.101999282836914,41.47999954223633,18.0,36.07002639770508,31.315000534057614,14.846802711486815
2017-04-26,52.81551742553711,,22.60000038146973,12.368396759033205,40.95000076293945,18.600000381469727,36.273597717285156,31.54999923706055,14.910856246948242
2017-04-27,53.112342834472656,,22.709999084472656,12.063945770263672,43.459999084472656,18.5,35.65320587158203,31.46999931335449,14.910856246948242
2017-04-28,53.054893493652344,,22.309999465942386,11.72143268585205,41.52999877929688,18.200000762939453,35.20729446411133,31.6299991607666,14.910856246948242
2017-05-01,52.65274047851562,,22.209999084472656,11.645319938659668,41.54999923706055,17.5,34.65476226806641,31.69499969482422,14.910856246948242
2017-05-02,52.72933959960938,,22.25,12.101999282836914,41.59000015258789,19.450000762939453,34.18946075439453,31.56999969482422,14.910856246948242
2017-05-03,52.21228790283203,,22.75,11.150586128234863,41.52999877929688,18.799999237060547,34.014968872070305,31.209999084472656,14.819079399108887
2017-05-04,52.15484619140625,,22.739999771118164,11.150586128234863,42.0,18.850000381469727,34.50934600830078,31.10000038146973,14.863055229187012
2017-05-05,51.656944274902344,,23.559999465942386,11.264756202697756,42.38000106811523,19.549999237060547,40.07350158691406,34.700000762939446,15.0255765914917
2017-05-08,51.9920654296875,,23.40999984741211,11.074472427368164,41.7599983215332,18.899999618530273,40.054107666015625,36.01499938964844,14.951964378356935
2017-05-09,52.556983947753906,,23.31999969482422,11.036416053771973,41.70000076293945,18.950000762939453,44.28054809570313,36.40499877929688,15.085803985595705
2017-05-10,52.24101638793945,,23.6299991607666,10.998357772827148,42.08000183105469,19.100000381469727,44.77490997314453,36.28499984741211,15.095366477966307
2017-05-11,51.93461990356445,,24.1299991607666,10.80807399749756,41.61999893188477,18.899999618530273,45.38561630249024,36.18999862670898,15.095366477966307
2017-05-12,51.89632797241211,,23.88999938964844,10.503622055053713,40.290000915527344,18.799999237060547,44.66829299926758,36.1150016784668,14.96152400970459
